algorithm,pop_size,n_gen,crossover_prob,mutation_prob,seed,hv,gd,n_solutions
standard,100,200,0.9,0.8,3,339.5273309905002,0.0,93
standard,100,200,0.9,0.8,4,665.0547940385535,0.0,100
standard,100,200,0.9,0.8,5,544.5975305677326,0.0,100
standard,100,200,0.9,0.8,6,210.79602533876388,0.0,100
standard,100,200,0.9,0.8,7,289.91203937251055,0.0,90
standard,100,200,0.9,0.8,8,320.80698251054514,0.0,100
standard,100,200,0.9,0.8,9,399.2828010240658,0.0,100
standard,100,200,0.9,0.8,10,117.19799389807777,0.0,92
hybrid_no_repair,50,100,0.8,0.5,1,28.58473933588544,0.0,14
hybrid_no_repair,50,100,0.8,0.5,2,24.629404209092908,0.0,13
hybrid_no_repair,50,100,0.8,0.5,3,105.20683293672434,0.0,32
hybrid_no_repair,50,100,0.8,0.5,4,34.972498723596786,0.0,24
hybrid_no_repair,50,100,0.8,0.5,5,16.545473233944676,0.0,5
hybrid_no_repair,50,100,0.8,0.5,6,64.15441234534092,0.0,24
hybrid_no_repair,50,100,0.8,0.5,7,43.2479932039158,0.0,24
hybrid_no_repair,50,100,0.8,0.5,8,19.39475086527911,0.0,14
hybrid_no_repair,50,100,0.8,0.5,9,14.419167077555503,0.0,14
hybrid_no_repair,50,100,0.8,0.5,10,57.18195908755795,0.0,42
hybrid_no_repair,50,100,0.8,0.8,1,53.811150362350546,0.0,19
hybrid_no_repair,50,100,0.8,0.8,2,13.34207672830685,0.0,12
hybrid_no_repair,50,100,0.8,0.8,3,87.79399410643013,0.0,43
hybrid_no_repair,50,100,0.8,0.8,4,62.99764222418916,0.0,16
hybrid_no_repair,50,100,0.8,0.8,5,75.91778011415911,0.0,43
hybrid_no_repair,50,100,0.8,0.8,6,70.57249777912124,0.0,25
hybrid_no_repair,50,100,0.8,0.8,7,38.03272653332613,0.0,27
hybrid_no_repair,50,100,0.8,0.8,8,39.903464767232734,0.0,12
hybrid_no_repair,50,100,0.8,0.8,9,22.028546381948686,0.0,18
hybrid_no_repair,50,100,0.8,0.8,10,279.09318285596964,0.0,49
hybrid_no_repair,50,100,0.9,0.5,1,42.279961392369934,0.0,18
hybrid_no_repair,50,100,0.9,0.5,2,18.781049919544134,0.0,17
hybrid_no_repair,50,100,0.9,0.5,3,48.882167549308406,0.0,40
hybrid_no_repair,50,100,0.9,0.5,4,14.87933305879998,0.0,9
hybrid_no_repair,50,100,0.9,0.5,5,77.34572840709473,0.0,23
hybrid_no_repair,50,100,0.9,0.5,6,52.00069099829508,0.0,26
hybrid_no_repair,50,100,0.9,0.5,7,66.38493475280143,0.0,20
hybrid_no_repair,50,100,0.9,0.5,8,27.5204473529531,0.0,14
hybrid_no_repair,50,100,0.9,0.5,9,36.27516693975525,0.0,20
hybrid_no_repair,50,100,0.9,0.5,10,98.99975975035399,0.0,49
hybrid_no_repair,50,100,0.9,0.8,1,38.95044351453521,0.0,14
hybrid_no_repair,50,100,0.9,0.8,2,25.48839662296501,0.0,13
hybrid_no_repair,50,100,0.9,0.8,3,88.4236277935468,0.0,20
hybrid_no_repair,50,100,0.9,0.8,4,31.255378693616255,0.0,14
hybrid_no_repair,50,100,0.9,0.8,5,78.07959096088808,0.0,14
hybrid_no_repair,50,100,0.9,0.8,6,55.936360453453155,0.0,37
hybrid_no_repair,50,100,0.9,0.8,7,54.05380133401674,0.0,28
hybrid_no_repair,50,100,0.9,0.8,8,21.329600066233915,0.0,13
hybrid_no_repair,50,100,0.9,0.8,9,27.445387352957823,0.0,14
hybrid_no_repair,50,100,0.9,0.8,10,93.57496280238442,0.0,38
hybrid_no_repair,50,200,0.8,0.5,1,78.56338743812915,0.0,37
hybrid_no_repair,50,200,0.8,0.5,2,50.79982428803692,0.0,43
hybrid_no_repair,50,200,0.8,0.5,3,119.84472779498498,0.0,50
hybrid_no_repair,50,200,0.8,0.5,4,44.86295202393033,0.0,22
hybrid_no_repair,50,200,0.8,0.5,5,56.58124610206937,0.0,40
hybrid_no_repair,50,200,0.8,0.5,6,89.25183726812813,0.0,41
hybrid_no_repair,50,200,0.8,0.5,7,80.29228220580981,0.0,34
hybrid_no_repair,50,200,0.8,0.5,8,52.31186886084306,0.0,46
hybrid_no_repair,50,200,0.8,0.5,9,65.41222223533916,0.0,30
hybrid_no_repair,50,200,0.8,0.5,10,89.18374864305972,0.0,50
hybrid_no_repair,50,200,0.8,0.8,1,109.30252092573134,0.0,44
hybrid_no_repair,50,200,0.8,0.8,2,63.95490465283416,0.0,27
hybrid_no_repair,50,200,0.8,0.8,3,212.1196395671521,0.0,50
hybrid_no_repair,50,200,0.8,0.8,4,152.64202351893618,0.0,50
hybrid_no_repair,50,200,0.8,0.8,5,162.66416977144343,0.0,49
hybrid_no_repair,50,200,0.8,0.8,6,110.27138446216918,0.0,50
hybrid_no_repair,50,200,0.8,0.8,7,117.93579702732097,0.0,50
hybrid_no_repair,50,200,0.8,0.8,8,52.42552784387442,0.0,30
hybrid_no_repair,50,200,0.8,0.8,9,78.7096001659437,0.0,50
hybrid_no_repair,50,200,0.8,0.8,10,266.30711678803186,0.0,50
hybrid_no_repair,50,200,0.9,0.5,1,63.45040976793905,0.0,26
hybrid_no_repair,50,200,0.9,0.5,2,38.481412738169354,0.0,34
hybrid_no_repair,50,200,0.9,0.5,3,102.00410486179965,0.0,50
hybrid_no_repair,50,200,0.9,0.5,4,65.69486954092751,0.0,43
hybrid_no_repair,50,200,0.9,0.5,5,105.04260207383136,0.0,50
hybrid_no_repair,50,200,0.9,0.5,6,71.54061878915842,0.0,28
hybrid_no_repair,50,200,0.9,0.5,7,73.94474973788328,0.0,46
hybrid_no_repair,50,200,0.9,0.5,8,43.59610178918827,0.0,42
hybrid_no_repair,50,200,0.9,0.5,9,81.63146264034259,0.0,50
hybrid_no_repair,50,200,0.9,0.5,10,138.60032203061985,0.0,50
hybrid_no_repair,50,200,0.9,0.8,1,128.61996369483234,0.0,31
hybrid_no_repair,50,200,0.9,0.8,2,76.09790462704837,0.0,38
hybrid_no_repair,50,200,0.9,0.8,3,113.85925823049055,0.0,49
hybrid_no_repair,50,200,0.9,0.8,4,76.68559989352644,0.0,50
hybrid_no_repair,50,200,0.9,0.8,5,112.85772570485607,0.0,43
hybrid_no_repair,50,200,0.9,0.8,6,212.358875313631,0.0,50
hybrid_no_repair,50,200,0.9,0.8,7,54.254269726315464,0.0,40
hybrid_no_repair,50,200,0.9,0.8,8,59.43735642518496,0.0,37
hybrid_no_repair,50,200,0.9,0.8,9,75.63614597126016,0.0,31
hybrid_no_repair,50,200,0.9,0.8,10,154.61374928122748,0.0,50
hybrid_no_repair,70,100,0.8,0.5,1,49.47293141649277,0.0,30
hybrid_no_repair,70,100,0.8,0.5,2,54.41925204351908,0.0,22
hybrid_no_repair,70,100,0.8,0.5,3,43.37817733154246,0.0,22
hybrid_no_repair,70,100,0.8,0.5,4,123.79362689723081,0.0,37
hybrid_no_repair,70,100,0.8,0.5,5,50.877060510910766,0.0,15
hybrid_no_repair,70,100,0.8,0.5,6,67.06930582513003,0.0,13
hybrid_no_repair,70,100,0.8,0.5,7,70.95455358091249,0.0,24
hybrid_no_repair,70,100,0.8,0.5,8,96.49618701556214,0.0,24
hybrid_no_repair,70,100,0.8,0.5,9,25.02094842530631,0.0,15
hybrid_no_repair,70,100,0.8,0.5,10,38.07245091876892,0.0,35
hybrid_no_repair,70,100,0.8,0.8,1,21.362983649181505,0.0,13
hybrid_no_repair,70,100,0.8,0.8,2,79.36188349599378,0.0,37
hybrid_no_repair,70,100,0.8,0.8,3,53.745947085298916,0.0,17
hybrid_no_repair,70,100,0.8,0.8,4,57.607559251900724,0.0,28
hybrid_no_repair,70,100,0.8,0.8,5,171.60713207811767,0.0,38
hybrid_no_repair,70,100,0.8,0.8,6,180.4753714329177,0.0,39
hybrid_no_repair,70,100,0.8,0.8,7,147.0892921705272,0.0,38
hybrid_no_repair,70,100,0.8,0.8,8,22.102334157561963,0.0,17
hybrid_no_repair,70,100,0.8,0.8,9,158.10019433043414,0.0,26
hybrid_no_repair,70,100,0.8,0.8,10,19.744533547761108,0.0,11
hybrid_no_repair,70,100,0.9,0.5,1,34.71629004588131,0.0,24
hybrid_no_repair,70,100,0.9,0.5,2,29.972204574482802,0.0,20
hybrid_no_repair,70,100,0.9,0.5,3,92.06040569869839,0.0,39
